case_id,modality,filename,z,y,x,spacing_x,spacing_y,spacing_z
AB_1ABA005,CT,AB_1ABA005_CT_reg.nii.gz,91,367,465,1.0,1.0,3.0
AB_1ABA005,MR,AB_1ABA005_MR.nii.gz,91,367,465,1.0,1.0,3.0
AB_1ABA005,MASK,AB_1ABA005_mask.nii.gz,91,367,465,1.0,1.0,3.0
AB_1ABA009,CT,AB_1ABA009_CT_reg.nii.gz,110,389,494,1.0,1.0,3.0
AB_1ABA009,MR,AB_1ABA009_MR.nii.gz,110,389,494,1.0,1.0,3.0
AB_1ABA009,MASK,AB_1ABA009_mask.nii.gz,110,389,494,1.0,1.0,3.0
AB_1ABA011,CT,AB_1ABA011_CT_reg.nii.gz,101,341,459,1.0,1.0,3.0
AB_1ABA011,MR,AB_1ABA011_MR.nii.gz,101,341,459,1.0,1.0,3.0
AB_1ABA011,MASK,AB_1ABA011_mask.nii.gz,101,341,459,1.0,1.0,3.0
AB_1ABA012,CT,AB_1ABA012_CT_reg.nii.gz,116,443,503,1.0,1.0,3.0
AB_1ABA012,MR,AB_1ABA012_MR.nii.gz,116,443,503,1.0,1.0,3.0
AB_1ABA012,MASK,AB_1ABA012_mask.nii.gz,116,443,503,1.0,1.0,3.0
AB_1ABA014,CT,AB_1ABA014_CT_reg.nii.gz,103,345,471,1.0,1.0,3.0
AB_1ABA014,MR,AB_1ABA014_MR.nii.gz,103,345,471,1.0,1.0,3.0
AB_1ABA014,MASK,AB_1ABA014_mask.nii.gz,103,345,471,1.0,1.0,3.0
AB_1ABA018,CT,AB_1ABA018_CT_reg.nii.gz,49,348,465,1.0,1.0,3.0
AB_1ABA018,MR,AB_1ABA018_MR.nii.gz,49,348,465,1.0,1.0,3.0
AB_1ABA018,MASK,AB_1ABA018_mask.nii.gz,49,348,465,1.0,1.0,3.0
AB_1ABA019,CT,AB_1ABA019_CT_reg.nii.gz,100,355,469,1.0,1.0,3.0
AB_1ABA019,MR,AB_1ABA019_MR.nii.gz,100,355,469,1.0,1.0,3.0
AB_1ABA019,MASK,AB_1ABA019_mask.nii.gz,100,355,469,1.0,1.0,3.0
AB_1ABA025,CT,AB_1ABA025_CT_reg.nii.gz,81,355,462,1.0,1.0,3.0
AB_1ABA025,MR,AB_1ABA025_MR.nii.gz,81,355,462,1.0,1.0,3.0
AB_1ABA025,MASK,AB_1ABA025_mask.nii.gz,81,355,462,1.0,1.0,3.0
AB_1ABA029,CT,AB_1ABA029_CT_reg.nii.gz,73,342,462,1.0,1.0,3.0
AB_1ABA029,MR,AB_1ABA029_MR.nii.gz,73,342,462,1.0,1.0,3.0
AB_1ABA029,MASK,AB_1ABA029_mask.nii.gz,73,342,462,1.0,1.0,3.0
AB_1ABA030,CT,AB_1ABA030_CT_reg.nii.gz,96,390,534,1.0,1.0,3.0
AB_1ABA030,MR,AB_1ABA030_MR.nii.gz,96,390,534,1.0,1.0,3.0
AB_1ABA030,MASK,AB_1ABA030_mask.nii.gz,96,390,534,1.0,1.0,3.0
AB_1ABA031,CT,AB_1ABA031_CT_reg.nii.gz,75,348,467,1.0,1.0,3.0
AB_1ABA031,MR,AB_1ABA031_MR.nii.gz,75,348,467,1.0,1.0,3.0
AB_1ABA031,MASK,AB_1ABA031_mask.nii.gz,75,348,467,1.0,1.0,3.0
AB_1ABA033,CT,AB_1ABA033_CT_reg.nii.gz,106,347,463,1.0,1.0,3.0
AB_1ABA033,MR,AB_1ABA033_MR.nii.gz,106,347,463,1.0,1.0,3.0
AB_1ABA033,MASK,AB_1ABA033_mask.nii.gz,106,347,463,1.0,1.0,3.0
AB_1ABA039,CT,AB_1ABA039_CT_reg.nii.gz,73,342,459,1.0,1.0,3.0
AB_1ABA039,MR,AB_1ABA039_MR.nii.gz,73,342,459,1.0,1.0,3.0
AB_1ABA039,MASK,AB_1ABA039_mask.nii.gz,73,342,459,1.0,1.0,3.0
AB_1ABA041,CT,AB_1ABA041_CT_reg.nii.gz,103,356,465,1.0,1.0,3.0
AB_1ABA041,MR,AB_1ABA041_MR.nii.gz,103,356,465,1.0,1.0,3.0
AB_1ABA041,MASK,AB_1ABA041_mask.nii.gz,103,356,465,1.0,1.0,3.0
AB_1ABA042,CT,AB_1ABA042_CT_reg.nii.gz,79,320,344,1.0,1.0,3.0
AB_1ABA042,MR,AB_1ABA042_MR.nii.gz,79,320,344,1.0,1.0,3.0
AB_1ABA042,MASK,AB_1ABA042_mask.nii.gz,79,320,344,1.0,1.0,3.0
AB_1ABA044,CT,AB_1ABA044_CT_reg.nii.gz,108,340,464,1.0,1.0,3.0
AB_1ABA044,MR,AB_1ABA044_MR.nii.gz,108,340,464,1.0,1.0,3.0
AB_1ABA044,MASK,AB_1ABA044_mask.nii.gz,108,340,464,1.0,1.0,3.0
AB_1ABA047,CT,AB_1ABA047_CT_reg.nii.gz,105,340,460,1.0,1.0,3.0
AB_1ABA047,MR,AB_1ABA047_MR.nii.gz,105,340,460,1.0,1.0,3.0
AB_1ABA047,MASK,AB_1ABA047_mask.nii.gz,105,340,460,1.0,1.0,3.0
AB_1ABA049,CT,AB_1ABA049_CT_reg.nii.gz,76,355,470,1.0,1.0,3.0
AB_1ABA049,MR,AB_1ABA049_MR.nii.gz,76,355,470,1.0,1.0,3.0
AB_1ABA049,MASK,AB_1ABA049_mask.nii.gz,76,355,470,1.0,1.0,3.0
AB_1ABA050,CT,AB_1ABA050_CT_reg.nii.gz,97,342,462,1.0,1.0,3.0
AB_1ABA050,MR,AB_1ABA050_MR.nii.gz,97,342,462,1.0,1.0,3.0
AB_1ABA050,MASK,AB_1ABA050_mask.nii.gz,97,342,462,1.0,1.0,3.0
AB_1ABA051,CT,AB_1ABA051_CT_reg.nii.gz,101,350,470,1.0,1.0,3.0
AB_1ABA051,MR,AB_1ABA051_MR.nii.gz,101,350,470,1.0,1.0,3.0
AB_1ABA051,MASK,AB_1ABA051_mask.nii.gz,101,350,470,1.0,1.0,3.0
AB_1ABA054,CT,AB_1ABA054_CT_reg.nii.gz,67,350,460,1.0,1.0,3.0
AB_1ABA054,MR,AB_1ABA054_MR.nii.gz,67,350,460,1.0,1.0,3.0
AB_1ABA054,MASK,AB_1ABA054_mask.nii.gz,67,350,460,1.0,1.0,3.0
AB_1ABA057,CT,AB_1ABA057_CT_reg.nii.gz,78,343,466,1.0,1.0,3.0
AB_1ABA057,MR,AB_1ABA057_MR.nii.gz,78,343,466,1.0,1.0,3.0
AB_1ABA057,MASK,AB_1ABA057_mask.nii.gz,78,343,466,1.0,1.0,3.0
AB_1ABA058,CT,AB_1ABA058_CT_reg.nii.gz,94,363,564,1.0,1.0,3.0
AB_1ABA058,MR,AB_1ABA058_MR.nii.gz,94,363,564,1.0,1.0,3.0
AB_1ABA058,MASK,AB_1ABA058_mask.nii.gz,94,363,564,1.0,1.0,3.0
