================ Training Loss (Wed Nov 26 13:10:48 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.043, data: 2.012) , G_GAN: 2.000, G_L1: 67.116, D_real: 0.408, D_fake: 1.468

[Rank 0] (epoch: 1, iters: 200, time: 0.009, data: 0.023) , G_GAN: 0.779, G_L1: 59.979, D_real: 2.099, D_fake: 2.273

[Rank 0] (epoch: 1, iters: 300, time: 0.009, data: 0.020) , G_GAN: 0.813, G_L1: 54.278, D_real: 0.550, D_fake: 1.010

[Rank 0] (epoch: 1, iters: 400, time: 0.011, data: 0.025) , G_GAN: 1.021, G_L1: 49.928, D_real: 0.561, D_fake: 0.855

[Rank 0] (epoch: 1, iters: 500, time: 0.009, data: 0.027) , G_GAN: 1.220, G_L1: 48.383, D_real: 0.778, D_fake: 0.769

[Rank 0] (epoch: 1, iters: 600, time: 0.009, data: 0.023) , G_GAN: 1.107, G_L1: 45.303, D_real: 0.848, D_fake: 0.900

[Rank 0] (epoch: 1, iters: 700, time: 0.009, data: 0.023) , G_GAN: 1.003, G_L1: 40.860, D_real: 0.714, D_fake: 0.594

[Rank 0] (epoch: 1, iters: 800, time: 0.009, data: 0.023) , G_GAN: 1.043, G_L1: 38.690, D_real: 0.597, D_fake: 0.559

[Rank 0] (epoch: 1, iters: 900, time: 0.009, data: 0.022) , G_GAN: 1.105, G_L1: 36.964, D_real: 0.549, D_fake: 0.575

[Rank 0] (epoch: 1, iters: 1000, time: 0.009, data: 0.024) , G_GAN: 0.913, G_L1: 34.415, D_real: 0.574, D_fake: 0.506

[Rank 0] (epoch: 1, iters: 1100, time: 0.009, data: 0.023) , G_GAN: 1.268, G_L1: 33.219, D_real: 0.468, D_fake: 0.667

[Rank 0] (epoch: 1, iters: 1200, time: 0.009, data: 0.024) , G_GAN: 1.012, G_L1: 32.470, D_real: 0.849, D_fake: 0.444

[Rank 0] (epoch: 1, iters: 1300, time: 0.009, data: 0.025) , G_GAN: 0.996, G_L1: 28.506, D_real: 0.448, D_fake: 0.702

[Rank 0] (epoch: 1, iters: 1400, time: 0.009, data: 0.023) , G_GAN: 1.360, G_L1: 27.239, D_real: 0.498, D_fake: 0.571

[Rank 0] (epoch: 1, iters: 1500, time: 0.009, data: 0.024) , G_GAN: 1.002, G_L1: 26.332, D_real: 0.664, D_fake: 0.533

[Rank 0] (epoch: 1, iters: 1600, time: 0.009, data: 0.027) , G_GAN: 1.207, G_L1: 25.584, D_real: 0.466, D_fake: 0.842

[Rank 0] (epoch: 1, iters: 1700, time: 0.010, data: 0.027) , G_GAN: 1.426, G_L1: 22.562, D_real: 0.607, D_fake: 0.525

[Rank 0] (epoch: 1, iters: 1800, time: 0.009, data: 0.024) , G_GAN: 0.958, G_L1: 23.630, D_real: 0.937, D_fake: 0.405

[Rank 0] (epoch: 1, iters: 1900, time: 0.009, data: 0.023) , G_GAN: 1.247, G_L1: 21.944, D_real: 0.498, D_fake: 0.937

[Rank 0] (epoch: 1, iters: 2000, time: 0.010, data: 0.026) , G_GAN: 1.328, G_L1: 21.801, D_real: 0.843, D_fake: 0.515

[Rank 0] (epoch: 1, iters: 2100, time: 0.009, data: 0.024) , G_GAN: 0.816, G_L1: 20.081, D_real: 0.719, D_fake: 0.524

[Rank 0] (epoch: 1, iters: 2200, time: 0.009, data: 0.026) , G_GAN: 1.168, G_L1: 19.583, D_real: 0.436, D_fake: 0.757

[Rank 0] (epoch: 1, iters: 2300, time: 0.009, data: 0.025) , G_GAN: 1.091, G_L1: 18.670, D_real: 0.599, D_fake: 0.527

[Rank 0] (epoch: 1, iters: 2400, time: 0.009, data: 0.024) , G_GAN: 1.027, G_L1: 19.238, D_real: 0.476, D_fake: 0.542

[Rank 0] (epoch: 1, iters: 2500, time: 0.009, data: 0.024) , G_GAN: 1.441, G_L1: 17.477, D_real: 0.456, D_fake: 0.569

[Rank 0] (epoch: 1, iters: 2600, time: 0.009, data: 0.023) , G_GAN: 0.723, G_L1: 16.150, D_real: 0.906, D_fake: 0.349

[Rank 0] (epoch: 1, iters: 2700, time: 0.009, data: 0.023) , G_GAN: 1.411, G_L1: 15.993, D_real: 0.330, D_fake: 0.892

[Rank 0] (epoch: 1, iters: 2800, time: 0.009, data: 0.023) , G_GAN: 1.072, G_L1: 16.264, D_real: 0.793, D_fake: 0.357

[Rank 0] (epoch: 1, iters: 2900, time: 0.009, data: 0.023) , G_GAN: 0.994, G_L1: 16.087, D_real: 0.581, D_fake: 0.519

[Rank 0] (epoch: 1, iters: 3000, time: 0.009, data: 0.029) , G_GAN: 1.164, G_L1: 14.237, D_real: 0.407, D_fake: 0.713

[Rank 0] (epoch: 1, iters: 3100, time: 0.009, data: 0.024) , G_GAN: 1.149, G_L1: 14.661, D_real: 0.534, D_fake: 0.461

